,product_id,title,product_description,rating,ratings_count,initial_price,currency,seller_name,category,total_amount
0,8376765,Lino Perros,Women Navy Blue Solid Backpack,3.8,15,3995,INR,UNDEFINED VALUES,backpacks,59925
1,9136281,Tommy Hilfiger,Unisex Navy Blue Striped Backpack,4.5,67,2899,INR,UNDEFINED VALUES,backpacks,194233
2,17633752,Lavie,Aries Women Pink Mini Backpack,4.4,226,2999,INR,UNDEFINED VALUES,backpacks,677774
3,1376949,F Gear,Unisex Navy & Grey Printed Burner Backpack,4.4,1052,1675,INR,UNDEFINED VALUES,backpacks,1762100
4,13939916,MYTRIDENT,Men Blue Solid Bath Robe,4.7,12,2899,INR,UNDEFINED VALUES,bath-robe,34788
5,17198778,H&M,Beige & Tan Solid Stoneware Soap Dispenser,4.5,42,1399,INR,H &███Hen███ & █████████eta█████████████████████,bathroom-accessories,58758
6,19851824,AVI Living,Grey Solid 500 GSM Pure Cotton Bath Towel,4.0,5,1399,INR,UNDEFINED VALUES,bath-towels,6995
7,18602872,My Room,Yellow & Green Floral 140 TC King Bedsheet with 2 Pillow Covers,4.7,10,2999,INR,UNDEFINED VALUES,bedsheets,29990
8,18602850,My Room,Ethnic Print 144 TC Super King Bedsheet with 2 Pillow Covers,4.5,22,2999,INR,UNDEFINED VALUES,bedsheets,65978
9,8961147,Story@home,Pink & White Floral 160 TC Cotton 1 King Bedsheet with 2 Pillow Covers,3.7,7,2199,INR,UNDEFINED VALUES,bedsheets,15393
10,8430275,MYTRIDENT,Sea Green Floral Flat 120 TC Cotton 1 Queen Bedsheet with 2 Pillow Covers,4.4,26,2199,INR,UNDEFINED VALUES,bedsheets,57174
11,18346118,Arrabi,Pink & White Graphic 300 TC King Bedsheet with 2 Pillow Covers,0.0,0,3329,INR,Sig███Ove███as,bedsheets,0
12,18327434,BELLA CASA,Unisex Blue Bedsheets,0.0,0,1499,INR,Bel███Cas███ash█████████ail█████████,bedsheets,0
13,18492504,ROMEE,Blue & Beige Conversational 160 TC King Bedsheet with 2 Pillow Covers,3.9,10,3499,INR,UNDEFINED VALUES,bedsheets,34990
14,13729978,DDecor,White & Brown Floral 350 TC Cotton 1 King Bedsheet with 2 Pillow Covers,3.6,15,1599,INR,UNDEFINED VALUES,bedsheets,23985
15,19788630,Home Ecstasy,140tc Pure Cotton printed Teal Blue Single Bedsheet with 1 Pillow Cover,4.5,6,1199,INR,UNDEFINED VALUES,bedsheets,7194
16,20296382,DREAM WEAVERZ,Grey & Coral Printed 220 TC Glazed Cotton King Bedsheet with 2 Pillow Covers,3.8,18,2599,INR,UNDEFINED VALUES,bedsheets,46782
17,18346134,Arrabi,Pink & Grey Striped 300 TC King Cotton Bedsheet With 2 Pillow Covers,4.3,12,6329,INR,UNDEFINED VALUES,bedsheets,75948
18,22409156,Kastner,Women Textured Tang Slim Belt,3.8,9,1399,INR,Kas███r L███her█████████Pvt██████,belts,12591
19,18985918,Tommy Hilfiger,Women Navy Blue Embroidered High-Neck Pure Cotton Bodysuit,4.1,11,2999,INR,PVH███VIN███ASH█████████TE ███████████████,bodysuit,32989
20,22120138,Ed-a-Mamma Baby,Infant Boys Pack Of 2 Printed Pure Cotton Bodysuit,4.2,5,999,INR,ETE███LIA███EAT█████████CHA█████████████████████ED,bodysuit,4995
21,1728397,Mactree,Men Brown Solid Mid-Top Flat Boots,3.9,1727,9060,INR,MAX███ IN███NAT██████,boots,15646620
22,21427828,London Rag,Women Stiletto Heeled High-Top Boots,5.0,4,9599,INR,VOL███FAS███N P█████████,boots,38396
23,17372928,The Souled Store,Men Blue & White Abstract Printed Boxers,4.5,22,799,INR,THE███ULE███TOR█████████D.,boxers,17578
24,15115018,Jockey,Non-Wired Non-Padded Combed Cotton Workout Bra 1376-0105,4.4,1582,579,INR,Tru███m R███il,bra,915978
25,22063882,GROVERSONS Paris Beauty,Non Padded Cotton Seamless Non-Wired T-shirt Bra,4.0,25,399,INR,Gro███son███ppa█████████Ltd███,bra,9975
26,19219450,Susie,Black Solid Cotton T-Shirt Bra - Anti-Odour,4.3,12,749,INR,GEN███AD ███AIL█████████LIM██████,bra,8988
27,22196924,Zivame,Underwired Lightly Padded Pushup Bra,4.3,118,999,INR,MIL███AR ███AIL█████████LIM██████,bra,117882
28,19219468,Susie,Women  Black Solid Everyday Cotton Bra,4.0,6,699,INR,GEN███AD ███AIL█████████LIM██████,bra,4194
29,22278620,Tweens,Pack Of 2 Non Padded Medium Support All Day Comfort Slip-On Seamless Bra,0.0,0,720,INR,Bel███Lin███ies█████████.,bra,0
30,19277544,Marks & Spencer,BOUTIQUE X DAMARIS Navy Blue Underwired Lightly Padded Balconette Bra,4.3,24,2999,INR,Ret███Net███,bra,71976
31,18223842,max,Plus Size Non Padded Bra,4.1,37,449,INR,UNDEFINED VALUES,bra,16613
32,18656766,VStar,Beige Solid T-Shirt Bra,4.6,5,345,INR,V S███ CR███ION█████████,bra,1725
33,18656764,VStar,Grey Solid T-Shirt Bra,4.3,6,345,INR,V S███ CR███ION█████████,bra,2070
34,13523458,shyaway,Multicoloured Set of 3 Printed Underwired Lightly Padded Everyday Bra shya-com-217,4.3,6,2547,INR,UNDEFINED VALUES,bra,15282
35,18652628,max,Sea Green & Blue Floral Bra Lightly Padded SU22PDNW08MIST,4.2,5,649,INR,UNDEFINED VALUES,bra,3245
36,17774350,Zivame,Pink Lightly Padded T-shirt Bra,4.2,9,995,INR,UNDEFINED VALUES,bra,8955
37,16704504,ZINU,Women Silver-Toned Brass Cubic Zirconia Rhodium-Plated Charm Bracelet,4.1,7,699,INR,SAN███UNE███,bracelet,4893
38,21873792,KARATCART,Cubic Zirconia Silver-Plated Wraparound Bracelet,4.6,5,3397,INR,KOK███V G███AL █████████,bracelet,16985
39,21573578,Jewels Galaxy,Women Brass Gold-Plated Bangle-Style Bracelet,4.2,24,1329,INR,RS ███els███,bracelet,31896
40,18100576,MINUTIAE,Women Gold-Toned & White Brass Crystals Handcrafted Gold-Plated Bangle-Style Bracelet,3.2,13,1499,INR,UNDEFINED VALUES,bracelet,19487
41,18532334,Pepe Jeans,Men Green Printed Cotton Basic Briefs,0.0,0,459,INR,Vis███ St███,briefs,0
42,16696094,Van Heusen,Men Swift Dry High Stretch Mesh AIR Series Active Briefs 8905325842743,4.6,192,649,INR,Wes███ry ███din█████████d_M██████,briefs,124608
43,21867416,DressBerry,Women Boy Shorts Brief,4.1,14,299,INR,VAC███CRE███ONS███,briefs,4186
44,21850852,Soie,Women High Waist Full Coverage Lace Brief,4.9,14,390,INR,GIN███IND███RIE█████████,briefs,5460
45,21860658,EROTISSCH,Women Printed Laced Basic Briefs,0.0,0,899,INR,AAK███INT███TES█████████LIM██████,briefs,0
